JobTitle,CompanyName,ApprovedOn,SalaryMin,SalaryMax,PrettySalary,Skills,WorkingLocations,JobType,JobLevel,CompanySize,LanguageSelected
Sales Associate (Up to 1300Usd Per Month),Nakivo,2/15/2022,800,1300,$800 - $1300,"Sales Kỹ Thuật,Sales Support,Software Selling,IT Business Development,Sales B2B;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
Digital Solution Manager - SAP & Finance,Coca-Cola Beverages Vietnam Ltd.,3/1/2022,1500,2300,Thương lượng,"SAP,SAP Finance,FMCG,Systems Integration,English;",Hồ Chí Minh,toàn thời gian,Trưởng phòng,"1,000-4,999 Nhân viên",Bất kỳ
.NET Developer,Công Ty TNHH Đông Dương Sài Gòn,3/1/2022,300,0,Thương lượng,".NET,.Net Core,CSS,Scrum,Donet;",Hồ Chí Minh,toàn thời gian,Nhân viên,,Bất kỳ
Systems Engineer (DevSecOps Principle),PAL Tech,2/8/2022,1400,1800,$1400 - $1800,"CCNA,Linux,My SQL,Vmware,Cloud;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Bất kỳ
Senior IT Support,Công Ty TNHH Âm Nhạc Yamaha Việt Nam,2/15/2022,500,1000,Thương lượng,"Network Analysis,SAP,Website Management,User Experience,It Support;",Hồ Chí Minh,toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
Senior Python Developer- Signing Bonus Up to 50M,FPT Software,3/1/2022,1000,2500,Thương lượng,"Python,Flask,Django,Sqlalchemy,Restful API Design;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Project Manager - Signing Bonus Up To 35M,FPT Software,3/1/2022,1000,1700,Thương lượng,".NET,Java,COBOL,Tiếng Nhật,Project Management;","Đà Nẵng,Hà Nội,Hồ Chí Minh",toàn thời gian,Trưởng phòng,"5,000-9,999 Nhân viên",Bất kỳ
Online Insight Analyst,Home Credit Vietnam - Https://career.homecredit.vn/,3/1/2022,1000,1500,Thương lượng,"Data Analyst,SQL,Data Analysis,Business Intelligence,Business Analyst BA;",Hồ Chí Minh,toàn thời gian,Nhân viên,"5,000-9,999 Nhân viên",Bất kỳ
Accelerator ( IT Communicator),Công Ty TNHH Money Forward Việt Nam,2/8/2022,1000,1700,Thương lượng,"English,IT Comunicator,N2 Japanese,Analytics,Testing;","Hà Nội,Hồ Chí Minh",toàn thời gian,Nhân viên,25-99 Nhân viên,Tiếng Anh
UI/UX Designer (Figma / Adobe CS Products),Nakivo,2/15/2022,1100,1400,$1100 - $1400,"Web Design,UI Design,UX Design,English,Design System;",Hồ Chí Minh,toàn thời gian,Nhân viên,100-499 Nhân viên,Tiếng Anh
